Comment,Polarity
Sip kang Dedi mulyadi,0.0
Cakep no4 pilih no 4,0.0
Karena Siti sungay d tangani oleh pusat PSDA apa lagi sungay BCK,0.0
Jawa barat setu wadah air sangat dangkal dkb Bogor terbengkalaw,0.0
"Dedi Mulyadi jelas lebih paham permasalahan rakyat kecil, problemnya sdh tau solusinya tinggal dicarikan. Yang lain sepertinya masih berandai2 tentang program, permasalahan dikota besar jelas beda dengan permasalahan desa di ujung selatan, timur, utara jawa barat",0.0
BAPA AING BUKTI YANG LAIN HALUSINASI HEHEEE,0.0
Jabar istimewa Bapa aing,0.0
Saya cirebon perbatasan Indramayu siap dukung bapa aing Kang dedi mulyadi ğŸ’ª,0.0
02 jelas ya manisnya seperti apa Kayanya buat Stand-up komedy kali ya cocoknya,0.0
100 prsen jabar pilih no 4 jangan jangan keluarga clon lain juga akan dukung no 4 kang dedi bapa aing yes,0.0
No.4 KDMğŸ”¥ğŸ”¥ğŸ”¥,0.0
Mntap kdm mengusai materi dan pengalaman.,0.0
"Ges lah puguh nomer 4 nu pantes mimpin jabar mah,ges nguasai alam jeung warga oge kebudayaan jabar",0.0
Aku pilih no 4,0.0
"01 kudu ngapalken heulaa pr di bumi hahaha
 02 belajar di youtube hahaha
03 ingin menguasai tapi belum mengusai
04 nyaritakeun pengalaman nu di alaman,  smngat KDM ğŸ˜Š 04 04 jadi jadiiiii",0.2
pokoknya no 4 gass,0.0
Saya kerja di LH saya sudah mengabdi 10thn TPI gajih kami di pangkasğŸ˜­ğŸ˜­ğŸ˜­,0.0
Dari riau aja dukung kang dedi ğŸ˜Š,0.0
Aku pilih pak Dedi Mulyadi aja ya,0.0
"Bapa aing di pikaresep ku urang SUNDA,BETAWI JEUNG DERMAYUAN ATAWA CIREBONAN",0.0
isu agama mah Pe Ka Es tah nu sok maen tiap pilpres,0.0
Bukan orang jabar..tp dukung kang dedi aja,0.0
"Liat dong bapak aing mah adab nua juga paling bagus,lawan ngomong dia perhatikan",0.0
02 terlalu angkuh,0.0
Sya dukung teh GITA jdi DIVA DANGDUTnya indonesia....& GUBERNUR JABARnya KDM..YESSâ¤â¤â¤â¤ğŸ˜‚ğŸ˜‚,0.0
Nor 1,0.0
insyaalloh nmer 4 ...menang mutlak ..jadi bpk gurbernur jawa barat ...Amiiin Allohumma Amiiin ğŸ’ªğŸ’ªğŸ’ªğŸ’–ğŸ’–ğŸ’–ğŸ’˜ğŸ’˜ğŸ’˜ğŸ‘ğŸ‘ğŸ‘ğŸ‘ŒğŸ‘ŒğŸ‘Œ,0.0
Bapa aing pokonamah...,0.0
Cikampek kabupaten Karawang bukan kabupaten Purwakarta ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,0.0
"Nomer 1: full baca teks, cocok buat jadi khotib jumat
Nomer 2: congkak, arogan, tapi isi omongannya kosong
Nomer 3: main aman tapi banyak halu nya.
Nomer 4: menguasai materi dan berpengalaman.",0.2583333333333333
KDM pasti menangğŸ†ğŸ’ª,0.0
Bapa abdi nu kasep tea no opat nya ! bilih lepat,0.0
"No 3 ko bawa contekanğŸ˜‚ğŸ˜‚
No 1 sama bawa contekanğŸ˜‚ğŸ˜‚
No 2 juga sama bawa contekanğŸ˜‚ğŸ˜‚",0.0
"Saya pilih paslon 01â˜ï¸

Buat jadi khatib Jum'atan",0.0
Bapa aing tea... 04 insyaAllah menang,0.0
Insyaa Alloh nomor 3 Ahmad Syaikhu & Ilham Habibie menang.Aamiin,0.0
Orang cabul pilih dedi mulyadi ğŸ˜‚,0.0
Untuk atitude no.2 sangat minus,-0.1
Ges puguh no 4 bapak aingâ¤,0.0
Contoh pemimpin suara ya tegas ga baca tulisan,0.0
TPA CIPAYUNG DEPOK OVER CAPASITY DAN BAU PAK.!!!!...tolong di tindak!!!!,0.0
Ripuh ey pisi misi maca mah,0.0
Bapa aing no 04,0.0
Bapak aingâ¤â¤â¤,0.0
ANGGER NU BAKAL MEUNANG MAH BAPA AING!!!!!,0.0
Kembalikan amanat penderitaan rakyat terhadap beragam macam program pemerintah yg sdng di kembangkan/ realisasi demi kemajuan bangsa dan negara.,0.0
Bapa aing is the best...â¤â¤â¤,0.0
siap dukung bapa aing,0.0
"Gw anak Betawi, dukung dedy Mulyadi ........maju trus kange",0.0
No123mebaca teksğŸ˜® No4â¤sudah ada dalam pikirancerdas dan hati yg bijakğŸ‰,0.0
"Bapak Aing Tea Hebatâ¤â¤â¤


04 Gas keun...",0.0
"Akar masalahnya karena tidak ada yang beragama.

A=Tidak
Gama=Kacau

Politikus korup malah senang kalau semua kacau. Semakin carut marut keadaan, semakin gembira dia. Modal untuk ngibul dan korupsi.",0.0
"Jika ingin menguasai orang bodoh, bungkuslah hal yang batil dengan agama.
_Ibnu Rasyid_",0.0
Fu,0.0
Teori memeng empuk dn manis.. Tp kja nyata yg ssh dn sulit d lakukan .. Jd ayo pilih yg sdh jls kja nyata bwt rakyat sajah lah.. Kdm pilihanku...ku...ku...,0.0
"No 1,2,3 ngedabrus top KDM no 4",0.5
Dedi Mulyadi jelas lugas,0.0
01 menang,0.0
Yg memahami tanpa mencontek karna sudah hapal dg permasalahn dan perkembangan,0.0
Malas nton debat pilkada lgi ah bosen,0.0
Bicara berdasarkan pengalaman dan realitas nyampe ke masyarakatnya juga berasağŸ˜Š,0.0
Saatnya Merdeka Persemakmuran Bagi Semua Dan Saatnya Dollar Sunda Untuk Kita !,0.0
yesss no4,0.0
"Sudah jelas nomor 4 kerjanya.. sehat terus pak Dedi Mulyadi.. jawa barat istimewa, Jawa Barat well.ğŸ‰ğŸ‰",0.0
no 2 mending jadi mandor kuli bangunan bae,0.0
"GEUS PUGUH NO.4 BERPENGALAMAN TANPA CONTEKAN â¤ BAPA AING KANG DEDI MULYADI & KANG ERWAN, MENUJU JAWA BARAT ISTIMEWA

Tong Hilap Coblos No.4",0.0
no 1 calon gubernur apa khotib jumat,0.0
Gs puguh no 4 lah jelas,0.0
Jateng dukung pak Dedy krn udaah pengalaman dan terbukti dekat dg rakyat,0.0
"no 1 siga sidang jum'ah loba maca cocok na di mesjid we
no 2 sombong sok bijak sok tau tapi capruk, skeptik merasa paling bisa
no 3 cari aman, asal ngomong halusinasi tidak faham tujuan
no 4 pengalaman, tanpa contekan",0.0
Fix nomor 4 kepilih,0.0
